name,status,rmse,train_seconds,predict_seconds,memory_mb,error
UserCF_k80_n120_sh80_mc3,ok,17.666696962317555,0.7177809190002336,0.19803027399984785,14.471199035644531,
UserCF_k80_n120_sh80_mc5,ok,17.69477399198813,0.7242631869999059,0.19196188799969605,13.96221923828125,
UserCF_k80_n200_sh30_mc2,ok,17.635809152726555,0.6822956249998242,0.1922101999998631,19.209049224853516,
UserCF_k80_n200_sh30_mc3,ok,17.63283125824284,0.5956358959997488,0.17284340400010478,18.53420639038086,
UserCF_k80_n200_sh30_mc5,ok,17.656369645435966,0.6177185120000104,0.24662488100011615,17.076213836669922,
UserCF_k80_n200_sh50_mc2,ok,17.638059865045776,0.8325541699996393,0.24115300799985562,19.209049224853516,
UserCF_k80_n200_sh50_mc3,ok,17.64371940084506,0.8453817710001204,0.2390990519998013,18.53420639038086,
UserCF_k80_n200_sh50_mc5,ok,17.664420984698694,0.8226763570000912,0.2610586890000377,17.076213836669922,
UserCF_k80_n200_sh80_mc2,ok,17.653385752836144,0.7968925710001713,0.1992000149998603,19.209049224853516,
UserCF_k80_n200_sh80_mc3,ok,17.656456581368957,0.7327253959997506,0.23186531200008176,18.53420639038086,
UserCF_k80_n200_sh80_mc5,ok,17.673830181209965,0.7427385089999916,0.19768782400024065,17.076213836669922,
UserCF_k80_n400_sh30_mc2,ok,17.623399542149755,0.7273402620003253,0.29872515500028385,26.713130950927734,
UserCF_k80_n400_sh30_mc3,ok,17.62532183755326,0.8899512640000466,0.32262231900040206,23.93246841430664,
UserCF_k80_n400_sh30_mc5,ok,17.662157952954768,0.635950123999919,0.2592554050002036,20.33938217163086,
UserCF_k80_n400_sh50_mc2,ok,17.636136334233225,0.707228503999886,0.2610804900000403,26.713130950927734,
UserCF_k80_n400_sh50_mc3,ok,17.638658032366408,0.7396204990000115,0.2747628930001156,23.93246841430664,
UserCF_k80_n400_sh50_mc5,ok,17.670520751213598,0.7000659029999952,0.22400490499967418,20.33938217163086,
UserCF_k80_n400_sh80_mc2,ok,17.647006151368693,0.7533876649999911,0.33807243699993705,26.713130950927734,
UserCF_k80_n400_sh80_mc3,ok,17.649522523909773,0.7282478820002325,0.2673337809997065,23.93246841430664,
UserCF_k80_n400_sh80_mc5,ok,17.67506187913695,0.6697102940001969,0.24169085599987739,20.33938217163086,
MF_f3_lr0.0015_reg0.15,ok,17.353192571976276,9.915168450000237,0.015679611999985354,0.9191360473632812,
