seed,fold,model,rmse,train_seconds,predict_seconds,memory_mb
2028,1,Ensemble_triple_tuned,16.799267,21.4942,1.5133,149.6828
2028,2,Baseline_default,17.600897,0.6452,0.0087,0.7457
2028,2,Baseline_tuned_ru6_ri10,17.498917,0.5473,0.0084,0.7457
2028,2,ItemCF_official,17.207360,5.2071,0.9688,97.0094
2028,2,ItemCF_tuned_baseline,17.123228,5.7584,1.0897,120.8082
2028,2,MF_official,17.300506,16.6254,0.0382,0.9519
2028,2,MF_tuned,17.185090,15.0435,0.0240,1.0894
2028,2,UserCF_tuned,17.640732,1.1268,0.4177,26.6822
2028,2,Ensemble_official,17.055582,21.8325,1.0070,97.9613
2028,2,Ensemble_pair_tuned,17.003414,20.8018,1.1137,121.8976
2028,2,Ensemble_triple_tuned,16.985074,21.9286,1.5313,148.5798
2028,3,Baseline_default,17.542450,0.6015,0.0059,0.7471
2028,3,Baseline_tuned_ru6_ri10,17.442510,0.6228,0.0075,0.7471
2028,3,ItemCF_official,17.201636,5.0803,0.8549,97.2586
2028,3,ItemCF_tuned_baseline,17.117891,5.2597,1.0951,121.0070
2028,3,MF_official,17.274990,13.7237,0.0373,0.9539
2028,3,MF_tuned,17.170506,16.4676,0.0598,1.0917
2028,3,UserCF_tuned,17.552183,1.2447,0.4437,26.6067
2028,3,Ensemble_official,17.036563,18.8040,0.8922,98.2125
2028,3,Ensemble_pair_tuned,16.992561,21.7274,1.1548,122.0988
2028,3,Ensemble_triple_tuned,16.961881,22.9721,1.5985,148.7054
2028,4,Baseline_default,17.581229,0.6572,0.0105,0.7471
2028,4,Baseline_tuned_ru6_ri10,17.477486,0.6555,0.0100,0.7471
2028,4,ItemCF_official,17.281288,5.2622,0.9728,97.7562
2028,4,ItemCF_tuned_baseline,17.157316,5.7794,1.1618,121.5903
2028,4,MF_official,17.263073,15.7846,0.0224,0.9539
2028,4,MF_tuned,17.184151,16.5557,0.0730,1.0917
2028,4,UserCF_tuned,17.605976,1.7261,0.4265,26.5545
2028,4,Ensemble_official,17.090226,21.0468,0.9952,98.7101
2028,4,Ensemble_pair_tuned,17.027557,22.3351,1.2348,122.6820
2028,4,Ensemble_triple_tuned,17.001157,24.0612,1.6614,149.2365
2028,5,Baseline_default,17.491137,0.6288,0.0088,0.7456
2028,5,Baseline_tuned_ru6_ri10,17.376140,0.7045,0.0089,0.7456
2028,5,ItemCF_official,17.118669,5.6503,0.9688,97.4903
2028,5,ItemCF_tuned_baseline,17.019328,5.2349,1.2104,121.1560
2028,5,MF_official,17.139519,16.2243,0.0429,0.9517
2028,5,MF_tuned,17.069622,16.2868,0.0337,1.0891
2028,5,UserCF_tuned,17.419726,1.0000,0.3914,26.6217
2028,5,Ensemble_official,16.921836,21.8746,1.0117,98.4420
2028,5,Ensemble_pair_tuned,16.887641,21.5217,1.2441,122.2451
2028,5,Ensemble_triple_tuned,16.846146,22.5217,1.6355,148.8668
